Arrays,,,
,,,
12th April,,,
Long Pressed Name,long-pressed-name,Logic,
Container With Most Water,container-with-most-water,Done,
Squares of a sorted array,,Logic,
majority element,majority element,Done,
,,,
13 April,,,
majority element 2,majority element 2,Done,
majority element general,majority element general,(HW),
Next Greater Element III,next-greater-element-version3,Logic,
max product of 3 numbers,max product of three numbers,Logic,
largest number atleast twice of others,largest atleast twice,Logic,
Max chunks to make sorted,max chunks to make sorted,,
,,,
14 April,,,
Max Chunks To Make Sorted II,max-chunks-to-make-sorted-ii,Done,
number of subarrays with bounded maximum,number with bounded max,Done,
wiggle sort,wiggle sort,Logic,
Reverse vowels of a string,reverse vowels of a string,HW,
Product of Array Except Self,product-of-array-except-self,Logic,
maximize distance to closest person,max distace to closest,Logic,
First missing positive,first missing positive,Done,
,,,
3rd May,,,
Range Addition,range-addition,Done,
best meeting points,best meeting point,Logic,https://www.lintcode.com/problem/best-meeting-point/
Min moves to equal array element,min moves to equal array element,HW,
Sort Array By Parity,sort-array-by-parity,HW,
Maximum Swap,maximum-swap,Logic,
,,,
4th May,,,
Min No. of Platform,min no. of platform,Logic,
Sieve of Eratosthenes,Sieve,Done,
Segmented sieve,segmented sieve,Logic,
Two Sum,two sum,Logic,
Two Difference,two difference,Logic,
Boats to Save People,save-people-using-boat,HW,
MIn Jump required with +i or -i allowed,min jump,Logic,https://leetcode.com/problems/reach-a-number/
,,,
5th May,,,
partition labels,partition labels,Logic,
partition array into disjoint intervals,partition array into disjoint,HW,
Buddy nim,Buddy nim,Logic,
maximum product subarray,max product subarray,Logic,
consecutive number sum,consecutive number sum,Logic,
push dominoes,Push dominoes,HW,
,,,
10th May,,,
multiply strings,multiply strings,Done,
max sum of two non overlapping subarrays,max sum of two non overlapping,Logic,
Trapping rain water,Trapping rain water,Done,..
Trapping rain water 2,Trapping rain water 2,Logic,
Sliding window maximum,Sliding window maximum,Logic,
Meeting rooms,Meeting rooms,HW,
Meeting rooms 2,Meeting rooms 2,HW,
,,,
11th May,,,
Merge intervals,Merge Intervals,Done,
Interval_List_Intersection,Interval list intersection,Logic,
