S. No,Issue,,,,Artifacts
1,Not able to see Employees for Office Hunting,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
2,"When we tried to add employee, It is not showing correct date format and we are not able to add employee",,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
3,It is showing that employee added successfully but we are not able to see any employee,,,,
,,,,,
4,Employees such as Diana are active and checked for call center still we are not able to see them on the Office Hunting board,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
5,On app Past date is also coming under upcoming appointments eg 10th November is showing under upcoming appointments,,,,
6,On Call Center Console page we are not getting the updated summary of missed calls and active calls or any relevant call.,,,,
7,When we are available for call then also we are getting message on application that all of our consumer service executives are busy now.,,,,
8,We are not able to do a direct video call from application,,,,
9,"Active call is only showing green call button which on pressing shows call in progress, which is not permitting to add a new call, while for missed call we don't have any button to call back the patient.",,,,
10,Incoming call list is not showing the list of the received call.,,,,
