Feature,Tasks,Dev Status,QE Status,QE Comment,
Dashboard,Task Feature Implementation,RG -> UD -> DE-> TESTING -> Tested,Passed   SAK ,,
Potential Patient List,"1. Ins verification status Yes, Disable time stamp in Referral Comment and Scheduling Notes, 
2. Dates not saving for any of the fields in this page on save 
3. Intead of showing Box 1, box 2 show PT1, PT2 in popup so it collectly reflects to user where he need to take action",RG -> UD -> DE-> TESTING -> Tested,Passed,"Only Timestamp is non-editable
Dates are saving correctly apart from Timestamp",RG -> Requirement Gathered
Claim Third Tab,Auth Visits and date are not in claim detail page,RG -> UD -> DE-> TESTING-> Tested,Passed,,UD -> Under Development
Auth Tracker,"""Auth Name""  please change to ""Auth Phase"", we will work on 1.1 to make it auto numbering, right now we will stay at manual type in.",RG -> UD -> DE->TESTING-> Tested,Passed,,
Auth dates not transferred into Claim when auth is saved.,"when saving a Auth, starting date, end date and visits authorixed are not transferred to Claim",RG -> UD -> DE -> TESTING-> Tested,Passed,Working for happy scenario only,
Potential Patient List Extended, No need to create multiple auth entry when clicking on same claim (add claim button) again and again,RG -> UD -> DE  -> TESTING-> Tested,Passed,,
"Auth tracker ""request"" does not go anywhere","it supposed to send a request to someone's message center.  Also, send a request should be an independent operation, that is after the request is send, that send a request window should close, but the Auth Tracker should remain open for the user to decide what to do next instead of just closed off. ",RG -> UD -> DE -> TESTING -> Tested,Passed,,
Message Center,Have confirmation popup on mark complete in messahe center,RG -> UD -> DE -> TESTING -> Tested,Passed,,
Whole Software,Need Date field to support date input ,Calculating Efforts,,,
App signup table in dashboard,Open Potential Pateint List from Signedup location ,RG -> UD -> DE -> TESTING -> Tested,Passed,,
All,Getting Internal server error for invalid search on the search box,RG -> UD -> DE -> TESTING -> Tested,Passed,,
Potential Patient List,"1. Timestamp is showing in dd/mm/yyyy format
2. Timestamp is auomatically getting update when user hadn't updated any field. In my case it has took future date as well",RG -> UD -> DE -> TESTING ,"Failed
DOB of patient is taking future date",,
Potential Patient List,Show insurance name in Potential Patient List column.,RG -> UD -> DE -> TESTING -> Tested,Passed,,
Patient & Claims,"Rename top title:  ""Patient & Claims -> Claim Setup"" to Patient & Claims",RG -> UD -> DE -> TESTING -> Tested,Passed,I will turn the Feature cell green after I tested it. --- Dr. Wang,
PtApp - Notification,"Notification Number does not change, also needs App to open the notification screen when pt tap on the PtApp program Icon, that is if there is notification about new exercise, then when pt tap App it will open the screen to show pt the exericse, same thing if there is a nre newsletter, it will open the newsletter.",,,,
FDS Daily -> Payment,"When click ""Other"", we need a ""Dispense source"" of Inventory dispense [from local inventory and the local inventory of that item will be reduce by 1] or to order [we will need to open the Order form, then completed, the order will be sent to Supply Mangement module]",RG -> UD ->  DE -> TESTING ,"Need some clarification as basic inventory and other inventories are showing items available but those items are not available on the FDS daily entry when we click on ""Others""",,
Auth modification ,"When check Authorization under ""Claims -> Set up Claim -> Authorization"" the data are not modifiable, we need this when staff made mistakes. Only staff with ""Auth Tracker"" access can modify.",need discussion(Anupam ji),,,
