App feature,iOS,Android,backend,QA,designing,Quetion,
Patient App,,,,,,,
Splash screen,8,8,,,2,,
Registration,12,12,12,8,2,Patient will be associated from one clinic or whole ARC team?,
Login,12,12,12,8,2,,
Forgot password ,8,8,8,8,2,,
change password,8,8,4,4,2,,
Schedules slots ,12,12,16,8,2,"Schedule slots, do patient will also be seeing the doctor slots?",
delete ,4,4,4,4,2,,
reschedule ,12,12,4,8,2,,
reminder for the slots Notification,,,,,2,,
notification for the exercised ,12,12,32,8,2,,
Notification from the server for wishesh,6,6,16,8,2,Birthday wishesh etc.,
Logout,4,4,4,8,2,,
Settings,8,8,2,8,2,expecting T&C and privacy policy only here,
Video calling with kiosk,100,100,40,8,2,There should be any button for video call or patient will be choosing the doctor for the call ,
Call notification,16,16,16,8,2,,
,,,,,2,,
News letter ,,,24,8,2,"And it will be created from the ARC, filter => pateint type etc.",
,,,,,,,
Kiosk Mode,,,,,,,
Login ,8,,8,4,2,,
assign room to the patient ,12,,12,4,2,,
Video calling ,100,,40,4,2,,
checkout payment ,100,,40,4,2,,
Signature screen,12,,8,4,2,,
schedule in Kiosk app that will goto the patient ,24,,16,4,2,,
patient listing ,12,,8,4,2,,
Patient search ,8,,8,4,2,,|
special instruction in gym ,16,,16,4,2,"video, text/image, text  /text ",monitor 
billing ,16,,16,4,2,,
Notification/Newsletter ,12,,12,4,2,,Web
Offline data if it's loaded,,,,,,,
