Sr. No. ,Module /Screen Name,Sub- Module,Issue In detail ,Efforts needed in (hours),  Priority,  Issue Type ,  Environment,  Dev Status,QA Status,Date,  Assignee, Attachments,Testing Data,QA Comments,Dev Comments,Dev Server API Endpoints
,,,,,,,,,,,,,,,,
,DB Maintenance,,Users can submit managerial titles with leading or trailing spaces.,Lowest,Bug,Development,,Review,,, Screen Recording 2025-01-21 at 3.52.23 AM.mov,,,,,
,,,"Duplicate managerial titles are allowed currently, and no validation is displayed when attempting to add an existing title as Case Sensitive.",Medium,Bug,Development,,Review,,, Screen Recording 2025-01-21 at 3.48.44 AM.mov,,,,,
,,,Two loaders are displayed simultaneously on the screen during certain actions. (Common for all screens.),Low,Bug,Development,,Review,,,,,,,,
,,,Newly added data does not appear at the top of the listing. ,Lowest,Suggestion,Development,,Review,,,,,,,,
,,,No validation is displayed when attempting to delete or modify data that is being used elsewhere in the system.,Highest,Suggestion,Development,,Open,,,,,,,,
,,,,,,,,,,,,,,,,
,,Error List,Values entered in the score field on the screen are not reflected in the edit form.,Medium,Bug,Development,,Review,,, Screen Recording 2025-01-21 at 4.04.39 AM.mov,,,,,
,,,Score field does not validate input correctly and allows non-numeric values via copy-paste,Medium,Bug,Development,,Review,,, Screen Recording 2025-01-21 at 4.04.39 AM.mov,,,,,
,,,"Error form field does not have required field validation, allowing it to remain empty during both add and edit operations.",Low,Bug,Development,,Review,,, Screen Recording 2025-01-21 at 4.04.39 AM.mov,,,,,
,,,"Score field does not have visible required field validation, allowing users to believe it can remain empty during both add and edit operations. However, if the form is submitted without filling in the score, the form does not proceed, indicating an implicit validation exists. The required field validation message should be displayed clearly to the user.""",Medium,Bug,Development,,Review,,,,,,,,
,,,"System does not check for duplicate data in the edit form. Additionally, it allows duplicates when text case (uppercase/lowercase) differs",Medium,Bug,Development,,Review,,,Screen Recording 2025-01-21 at 4.04.39 AM.mov,,,,,
