App feature,iOS,Android,backend,QA,designing,Quetion,Team will be occupied in this project,,,,
Patient App,,,,,,,Patient app:,,,,
Splash screen,8,8,,,2,,1 iOS resource,,,,
Registration,12,12,12,8,2,Patient will be associated from one clinic or whole ARC team?,1 Android resource,,,,
Login,12,12,12,8,2,,1 Backend,,,,
Forgot password ,8,8,8,8,2,,1 QA,,,,
change password,8,8,4,4,2,,1 Designer,,,,
Schedules slots ,12,12,16,8,2,"Schedule slots, do patient will also be seeing the doctor slots?",1/2 project manager,,,,
delete ,4,4,4,4,2,,Kiosk app:,,,,
reschedule ,12,12,4,8,2,,1 iOS resource,,,,
reminder for the slots Notification,,,,,2,,1 Backend,,,,
notification for the exercised ,12,12,32,8,2,,1 QA,,,,
Notification from the server for wishesh,6,6,16,8,2,Birthday wishesh etc.,1 Designer,,,,
Logout,4,4,4,8,2,,1/2 project manager,,,iOS ,current  iOS version and previous one
Settings,8,8,2,8,2,expecting T&C and privacy policy only here,Phase 2 of ARC:,,,Android ,current  Android  version and previous one
Video calling with kiosk,100,100,40,8,2,There should be any button for video call or patient will be choosing the doctor for the call ,2 Web resource,,,,
Call notification,16,16,16,8,2,,1 Backend,,,,
,,,,,2,,1 QA,,,,
News letter ,,,24,8,2,"And it will be created from the ARC, filter => pateint type etc.",1/2 project manager,,,,
,,,,,,,,,,,
Kiosk Mode ,,,,,,Patient will be using for check in and check out ,,,,,
Patient Login ,8,,8,4,2,,,,,,
assign room to the patient ,12,,12,4,2,It will be done by clinician and it will be on web ,,,,,
Video calling ,100,,40,4,2,,,,,,
checkout payment ,100,,40,4,2,It will be done by clinician and it will be on web ,,,,,
Signature screen,12,,8,4,2,KIosk app,,,,,
schedule in Patient app that will goto the Kiaosk ,24,,16,4,2,it will be coming from whole system.,,,,,
patient listing ,12,,8,4,2,KIosk app,,,,,
Patient search ,8,,8,4,2,,,,,,
special instruction in gym ,16,,16,4,2,Move to documentor app,,,,,
billing ,16,,16,4,2,,,,,,
Notification,12,,12,4,2,,,,,,
Offline data if it's loaded,,,,,,,,,,,
,,,,,,,,,,,
ARC phase 2 (Web and iPad),,,,,,https://docs.google.com/document/d/1-zIu_LvcSGK5CBu7K3IWZQXO9j_HzfFk_oBTuz8iPLo/edit,,,,,
,,,,,,,,,,,
Cost($) ,,,,,,37000(including ARC phase 2 ),,,,,
Support ,,,,,,6 months ,,,,,
Assumptions: ,,,,,,,,,,,
Apps will be in the english language ,,,,,,,,,,,
Kiosk mode will be on the ipad only,,,,,,,,,,,
Patient app will be for the iOS and Android both ,,,,,,,,,,,
Scheduling will be on the Kioask app to patient app,,,,,,,,,,,
"ARC phase 2 will be responsive web working on Laptop, Desktop and Tablet all.",,,,,,,,,,,
Notifications will be implemted from Firebase ,,,,,,,,,,,
Wishesh will be sent from server to the patient ,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Clinic,,,,,,Support Staff,,,,,
CLinic 1 ,,,,,,"Amit,  Anupm","John , XYZ , ABC ",,,,
CLinic 2,,,,,,"Amit, Anupm",Sandy ,,,,
CLinic 3,,,,,,"Amit, Anupm",,,,,
CLinic 4,,,,,,Anupam,,,,,
CLinic 5,,,,,,Anupam,,,,,
