Milestone for october ,,,,,,
items ,effoerts needed (hours),assigned to,,Estimated Time,,
3. Access roles,12,Shaikh,,--,"Denial Tracker, D/C Tracker, To be Scheduled, Potential Patient List, Auth Tracker, Note Central, Supply & Order Manager, Clinician Note Tracker",
3. forgot password ,4,,,--,,
3. Email send ,,Shaikh,,--,For New User Registration,
1. supply order management ,8,Shaikh,,--,"Under Dashboard show request with ""Suppy Order Requests"" Table, Also give a button on each row to mark that request as completed","-Remove Employee in form, Rename ""Choose collegue"" to ""Select branch"""
8. calender ,8,Shaikh,,--,,
7. message center ,8,Shaikh,,--,,
9. dasboard item re-allinment ,2,Shaikh,,--,,
5. copy insurance ,2,Shaikh,,--,"When copy button is pressed. Copy the whole ins. co.  including ""Insurance company"" and  ""Ins. FAQ"" tabs both. But leave ""Group #"", ""Ins. Product Type""  and  ""Coverage Status"" fileds empty, Also  generate a new  ""Ins. Co. ID #""    The ""Ins. Co. .Name "" will  also be copied  over.
",
"4. POCs, Authrizations",16,Shaikh,,--,,
6. profile ,4,Shaikh,,--,---,
"10. patient list, 102 form",,,,,,
ARCs2 ,,,,,,
exercise ,24,Shaikh,,,,
Newsletter ,8,Shaikh,,,,
Video calling ,,Anurag,,,,
Notification/ reminder,16,Shaikh,,,,
email/forgot password ,8,Shaikh,,,,
Form builder ,,,,,,
Form builder ,80,Shaikh,,,,
