Featurs ,Sub Features ,Status ,Document Links 
Organizations,,,
,Department,Approved,
,Branch,Approved,
,Designation,Approved,
,Employee,Approved,
,Calendar,Work in Progress,
,,,
Insurance,,,
,Insurance Co search & Edit,Approved,
,New Insurance Company Entry,Approved,
,,,
"Patient Records
",,,
,Insurance Verification,Work in Progress,
,FDS Daily Entry,Work in Progress,
,Claim Setup,Work in Progress,
,Patient & Claims,Work in Progress,
,,,
"Performance
",,,
,Event List & New Entry,Work in Progress,
,Performance Summary,Work in Progress,
,,,
"Supply Order & Status
",,,
,Supply Order Form,Work in Progress,
,Basic Inventory,Work in Progress,
,Corporate Inventory,Work in Progress,
,Supply Management,Work in Progress,
,,,
My Profile,,Approved,
