 ,Issue,Status,Testing Status,,,12 June
,"28/06/2016, bugs after verify the client issues.",,,,,
SytUp_1.1,If user have 0 Followers than on Group Followers screen Follower count should be 0 instead of 3,http://54.215.188.83:3000/api/v1/post/group/users?group_name=56ba6eb580266656fd23df36&user_id=6151459782852083712&page=1,,,,Not Fixed
SytUp_1.2,"If someone followed you than It should be comes at top at Notification screen, It displayed in the mid",http://54.215.188.83:3000/api/v1/push/info?user_id=6157181596198764544&last_date=0,"   HITTING URL

 http://54.215.188.83:3000/api/v1/push/info


                  WITH GET PARAMETERS

{
    ""last_date"" = 0;
    ""user_id"" = 6153110818889138176;
}
",,,Not Fixed
SytUp_1.3,"My post have 2 comment, 1 like & 2 Share/(4comment, 1like & 1 share) count but that post is not displayed me on Trending Product even an another post which have 2Comment, 2 like and 1 share count is in trending product",http://54.215.188.83:3000/api/v1/post/allproductproperty?user_id=6153110818889138176,"HITTING URL

 http://54.215.188.83:3000/api/v1/post/allproductproperty


                  WITH GET PARAMETERS

{
    ""user_id"" = 6153110818889138176;
}","trending is only with 2 cases
1. if user likes a post trending increases
2. if user share a post with his own follower then trending increase
",,Not Fixed
SytUp_1.4,"Under details of trending tag, All the tag list should be displayed.",Paging is already implemented for this try the url with   http://54.215.188.83:3000/api/v1/post/trending/tags?page=1 and with different values of page =2,but we are not getting the page count. so please send the page count as well.,Had added the nextPage key which specifies is api is to be hit again or not,i get the next feed count 1 but i get the array of 8 tags only. What it means. Can you please explain?,Not Fixed
SytUp_1.5,"On Some group, Follow button is not working ",No Url is provided,Working now,,,
SytUp_1.6,"On Home API, A unread notification count should be send ",DONE        http://54.215.188.83:3000/api/v1/feeds?user_id=6153110818889138176,Not Fixed,"Its fixed please check it ,there is a key unread_notification_count which specifies the count",,
SytUp_1.7,if my Product post is in trending than that post should displayed to me in the Trending Product section,,,,,Not Fixed
SytUp_1.8,i dont get the notification on Notification Screen if user follow the another user second time.,"   HITTING URL

 http://54.215.188.83:3000/api/v1/push/info


                  WITH GET PARAMETERS

{
    ""last_date"" = 0;
    ""user_id"" = 6153110818889138176;
}
","http://54.215.188.83:3000/api/v1/push/info?user_id=6157181596198764544&last_date=0

sorted according to date",,We checked at our end on console push is been send again,Not Fixed
SytUp_1.9,"When commenting on a post with media from the gallery, this same issue need to be fixed(Image should be in cronological order)","URLhttp://54.215.188.83:3000/api/v1/post/addcomment 


                  RECEIVED DATA BEFORE PARSING IS 
{
    ""commentBy_userid"" = 6153110818889138176;
    ""comment_text"" = hello;
    ""media_type"" = image;
    ""post_id"" = 577a13fe756d30fe4cb0ba81;
})

",,What you exactly mean by cronological order ? If the images aree uplaoded like Media A (of 5 mb) and then Media B (of 1 mb) then as smaller file will be uplaoded before its explain already...so the order it get uplaoded to server in the same order its returned everytime,,
SytUp_1.10,When posting auto select should not be restricted to case sensitive. For example when I put @anilyadav it should be the same as @AnilYadav. I hope this is also the logic implemented for choosing usernames. Please confirm and fix accordingly," HITTING URL

 http://54.215.188.83:3000/api/v1/suggestions/usernamesuggestion


                  WITH GET PARAMETERS

{
    AppKey = ""DFd$$@@#454gHGer$#"";
    ""user_id"" = 6153110818889138176;
    ""username_string"" = ash;
}",,,,Not Fixed
SytUp_1.11,Batch Count is not increasing after get the notification,NO URL PROVIDED,"Batch count is that when the notification comes , then the count of unread notification increase on app icon ",,,
SytUp_1.12,"I follow only the four groups but when i navigate to another user profile, All the gorups of another user is displayed as following",NO URL PROVIDED,"     HITTING URL

 http://54.215.188.83:3000/api/v1/user/getuserfollowing


                  WITH GET PARAMETERS

{
    ""user_id"" = 6153110818889138176;
}


                  WITH ACCESS TOKEN

$%#^%%7hg54634243k5lu79626%$#$%@$#hg$%#$#hggf
",,,
,,,,,,
Sytup Change Request,"Added the api at line no 160  for logout when user logout from app this api should be hit , so when user is not logged in it shouldn't recieve any push notifcation",,,,,
Sytup_1.13,when i am tring to get all explore products not getting nextpagecount key like feeds ,,"
                  HITTING URL

 http://54.215.188.83:3000/api/v1/post/explore/product/1


                  WITH GET PARAMETERS

{
    ""user_id"" = 6153110818889138176;
}


                  WITH ACCESS TOKEN

$%#^%%7hg54634243k5lu79626%$#$%@$#hg$%#$#hggf","This is not the only api where this key is to be included it has to be included in all the GET api, so it will done in UAT",,
Sytup_1.14,when i am tring to get all trending products not getting nextpagecount key like feeds ,,"       HITTING URL

 http://54.215.188.83:3000/api/v1/post/trending/product/1


                  WITH GET PARAMETERS

{
    ""user_id"" = 6153110818889138176;
}


                  WITH ACCESS TOKEN

$%#^%%7hg54634243k5lu79626%$#$%@$#hg$%#$#hggf
","This is not the only api where this key is to be included it has to be included in all the GET api, so it will done in UAT",,
