S.No,Bug Description,Screen Name ,Bug Type,Bug Status,Comments Developer
1,"Login and Signup arrow is overlapping with device home key icons(Minimize , back key and app minimized icon )",Login Screen ,UI,CLOSED,Resolved
2,"Maintain consistency on text of error message and use appropriate text 


a)  Email field -> Please enter Email , ""E"" of email should be small
b)  Password field -> Password too short , show the minimum password limit in the toast 
c)  Phone  Number -> ""Please enter phone number"" should be displayed
d) User already registered -> Registered spelling is incorrect as well as correct the message text 
e) Initial of Name field should be displayed automcatically in Caps - SUGGESTION",Signup screen ,Textual issues,CLOSED,Resolved
3,Mobile numer should be displayed on mobile verification screen ,LOGIN > Mobile verification screen ,MAJOR (UI),CLOSED,
4,"Due to auto attached country code""971"" before phone number , 
Unable to login in the app",LOGIN Screen ,BLOCKER ,CLOSED,Country Code is fixed for UAE Code - 971
5,"Message should not be displayed""Please enter the valid email address"" , IF user enter mobile number with ""+"" on mobile number field","Login screen > login 
with mobile number",Textual issues,CLOSED,Resolved
6,"On tap on back arrow button , user should not redirected to the
 out of the App",Verifying OTP screen ,MINOR,RE-OPEN,Resolved
7,"Unable to login with mobile number ->>>> Showing ""INVALID CREDENTIALS"" If user tried to login with 
mobile number with or without country code",Login with Mobile number,BLOCKER,CLOSED,Resolved
8,"Screen title ""Verifying Number !"" with back button -> overlapping with Status bar",Verifying Number screen,UI,RE_OPEN ...increase more spacing,Resolved
9,"OTP as ""0000"" should not be acceptable in OTP screen ,on 
entered the otp ,user navigated to the home screen",Verifying Number screen,MAJOR,CLOSED,"Not a Bug  it is randome code it may be 0000, 1111, 2222... 9999 etc"
10,Cursor should displayed beore placeholder text of the FIELDS,"Change Password screen , Reset Password and Forgot Password Screen",MINOR,RE-OPEN..keep all placeholder text left aligned,No need Discussed with TL
11,Confirm password field should not hide under Keyboard,Change Password screen ,MAJOR,Closed,Resolved
12,"Dummy text should be displayed from ADMIN instead of ""Email template""","Settings > About Us , privay Policy ,Help and Contact Us ",Minor,,"Currently not implemented , Need to Discuss"
13,"Screen name should ""Terms and Conditions"" instead 
of ""Term &app....""",Settings > Terms and Conditions,Textual issues,,Resolved
14,"make complete field tap able instead of just ""next arrow button""",Settings screen,Minor,,Resolved
14,"Image placeholder area should not changed automcatically on change the navigation bars 
and also uploaded image is not displayed 

Showing rectangle from SQUARE",My Profile ,Minor,,Resolved
15,"App name should updated ""dogood"" in place of ""DONAR""",Complete app,Textual (major),,Needs to discuss
16,Change My Password doesn’t verify Confirm Password field case sensitivity with New Password field. It accepted qwerty@123 in the New Password field and QWERTY@123 in the Confirm Password field. ,Change My Password,Major,RE_OPEN,Resolved
17,"LIKE and COMMENT count should be same as displayed on ""Likes"" screen ",Charity Count Screen ,Minor,,Resolved
18,"Share Count should increased on share the ""Charity Cause""",Charity Count Screen > Share,Minor,,No need DIscussed with TL
19,"On tap on LOCATION on, drop-down should be displayed with 
the list of locations",Filters ,UI ,,"Not a bug,  only UAE(counrty) is allowed"
20,Applied/Selected drop-down item should be displayed highlighted in the drop-down list ,Filter pop-up screen ,UI,,Resolved
21,"Incorrect grammer, message should say ""Please enter amount""",Subscription screen >Amount field blank,Textual,,Resolved
22, ,Subscription > Amount field ,Major,,Resolved
23,Screen Name is MISSING ,Transactions details,UI(MAJOR),,Resolved
24,"Name field - should say  ""Please enter name  on the card""

ii) Entered card number should be aligned on right 

iii) CVV field - Please enter CVV instaed of ""Cvv""

iv) Card NUmber - card number should be displayed in 4-digit format - Refer deisgns","Transactions details > Update
 fiele toast messages",UI and textual,,Resolved
25,Footer navigation bar is MISSING,Cause detail screen ,,,Not a bug discussed with TL
