7 October,,,
,Take all the calls in English only,Done,
,Work on your accent ,Not Done,Haven't got the time to work on it
,Dispatcher app timeline problem,Done,
,Shipper App timeline problem ,,Need to get the time 
,Resource allocation ,Done,
,read book ,Done,
,gone gym ,,problem in legs and thumb
,followed diet ,Done,
,learned new ,,Thinking what to learn new
,,,
8 October,,,
,Take all the calls in English only,Done,
,Work on your accent ,yet to start ,
,Dispatcher app timeline problem,Done ,Sent 2 mails to Client
,Shipper App timeline problem ,Done ,
,Resource allocation ,Done ,
,read book ,Done ,
,gone gym ,Done,
,followed diet ,Done,
,learned new ,,not much 
,,,
9 October,,,
,Take all the calls in English only,Done,
,Work on your accent ,not much,
,read book ,Done,
,gone gym ,Done,
,followed diet ,partial,
,learned new ,partial,not much 
,take all the meeting and be active on all the calls ,Done,
,what you have done 1 % better ,Done,I have asked for the follow ups on the shipper and discpatcherr and also taken the CET meeting seriously
,,,
9 October,,,
,Take all the calls in English only,,
,Work on your accent ,,
,read book ,,
,gone gym ,,
,followed diet ,,
,learned new ,,
,take all the meeting and be active on all the calls ,,
,what you have done 1 % better ,,
,learn new word ,,
,use new word ,,
10 October,,,
missed ,,,
,,,
11 October,,,
missed ,,,
12 October,,,
,,,
13 October,,,
,,,
14 October,,,
,Take all the calls in English only,done,
,Work on your accent ,done,
,read book ,done,
,gone gym ,done,
,followed diet ,done,
,learned new ,Done ,Neural network 
,take all the meeting and be active on all the calls ,done,
,what you have done 1 % better ,,
,learn new word ,,
,use new word ,,
,be proactive ,done ,
15 October,,,
,Take all the calls in English only,done,
,Work on your accent ,done,
,read book ,done,
,gone gym ,done,
,followed diet ,No ,tuesday not able to eat the eggs 
,learned new ,Done ,
,take all the meeting and be active on all the calls ,,
,what you have done 1 % better ,Dispatcher discussion,
,learn new word ,,
,use new word ,,
,be proactive ,Done,"have discussed with team, Discussed the problem, "
,,,
16 October,,,
,Take all the calls in English only,,Scrum of reels and. cleint call 
,Work on your accent ,,
,read book ,,yes
,gone gym ,,yes
,followed diet ,,yes
,learned new ,,yes
,take all the meeting and be active on all the calls ,,yes
,what you have done 1 % better ,,check with the team and followed up
,learn new word ,,midst=> in middle of something
,use new word ,,yes 
,be proactive ,,
,Ask the progress of the Performance,,
17 October,,,
,Take all the calls in English only,,
,Work on your accent ,,
,read book ,,
,gone gym ,,
,followed diet ,,
,learned new ,,
,take all the meeting and be active on all the calls ,,
,what you have done 1 % better ,,
,learn new word ,,
,use new word ,,
,be proactive ,,
,Ask the progress of the Performance,,
,,,
24 October,,,
,Take all the calls in English only,Yes,
,Work on your accent ,No,
,read book ,yes,
,gone gym ,Yes,
,followed diet ,Yes,
,learned new ,Yes ,
,take all the meeting and be active on all the calls ,Yes ,
,what you have done 1 % better ,Yes ,
,learn new word ,NO,
,use new word ,Yes ,"Bottleneck, Presumptively=> used to show that something is believed to be true, based on the information that is available"
,be proactive ,Yes,
,Ask the progress of the Performance,,
,,,
28 October,,,
,Take all the calls in English only,Yes,
,Work on your accent ,Yes,
,read book ,yes,
,gone gym ,Yes,
,followed diet ,No ,eaten a lot of sweets 
,learned new ,Yes ,
,take all the meeting and be active on all the calls ,Yes ,
,what you have done 1 % better ,Yes ,
,learn new word ,Yes,stubbuned 
,use new word ,Yes ,
,be proactive ,Yes,
,Ask the progress of the Performance,,
,,,
29 October,,,
,Take all the calls in English only,Yes,
,Work on your accent ,Yes,
,read book ,NO ,
,gone gym ,Yes,
,followed diet ,No ,
,learned new ,Yes ,started Python for AI and ML
,take all the meeting and be active on all the calls ,Yes ,
,what you have done 1 % better ,Yes ,
,learn new word ,Yes,
,use new word ,Yes ,
,be proactive ,Yes,
,Ask the progress of the Performance,,
30 October,,,
,Take all the calls in English only,Yes,
,Work on your accent ,Yes,
,read book ,NO ,
,gone gym ,NO ,
,followed diet ,No ,
,learned new ,NO ,started Python for AI and ML
,take all the meeting and be active on all the calls ,Yes ,
,what you have done 1 % better ,Yes ,
,learn new word ,Yes,
,use new word ,Yes ,
,be proactive ,Yes,
,Ask the progress of the Performance,,
,,,
4 November,,,
,Take all the calls in English only,Yes,
,Work on your accent ,Yes,
,read book ,NO ,
,gone gym ,Yes,
,followed diet ,Yes,
,learned new ,Yes,started Python for AI and ML
,take all the meeting and be active on all the calls ,Yes ,
,what you have done 1 % better ,Yes ,
,learn new word ,NO ,
,use new word ,NO ,
,be proactive ,Yes,
,Fill DSR ,,
,,,
4 November,,,
,Take all the calls in English only,Yes,
,Work on your accent ,Yes,
,read book ,NO ,
,gone gym ,Yes,
,followed diet ,Yes,
,learned new ,Yes,started Python for AI and ML
,take all the meeting and be active on all the calls ,Yes ,
,what you have done 1 % better ,Yes ,
,learn new word ,NO ,
,use new word ,NO ,
,be proactive ,Yes,
,Fill DSR ,,
,,,
8 November,,,
,Take all the calls in English only,Yes,
,Work on your accent ,Yes,
,read book ,NO ,
,gone gym ,Yes,
,followed diet ,Yes,
,learned new ,Yes,started Python for AI and ML
,take all the meeting and be active on all the calls ,Yes ,
,what you have done 1 % better ,Yes ,
,learn new word ,Yes ,"Aggregate: a material or structure formed from a mass of fragments or particles loosely compacted together.
 
Attributes: to believe that something was caused or done by somebody/something

Rational 
"
,use new word ,NO ,
,be proactive ,Yes,
,Fill DSR ,,
,,,
11 November,,,
,Take all the calls in English only,Yes,
,Work on your accent ,Yes,
,read book ,NO ,
,gone gym ,Yes,
,followed diet ,Yes,
,learned new ,Yes,started Python for AI and ML
,take all the meeting and be active on all the calls ,,
,what you have done 1 % better ,Yes ,
,learn new word ,Yes ,"exploded: o burst or break apart violently and suddenly, usually with a loud noise"
,use new word ,NO ,
,be proactive ,Yes,
,Fill DSR ,,
,,,
,,,
,,,
,,,
6 Months plan ,,,
24 Feb,,,
,Learned AI ,Yes ,
,Do the examle of AI ,Yes ,
,Work on communication ,Yes ,
,Hit the gym ,Yes ,
,Learned New word ,Yes ,"Agglomerative(bottom up), divise(top-down)"
,followed diet,Yes ,
,1 % better ,,Started taking all meeting seriously 
