S.no,Bug Summary,Screen Name,Sevirity,QA Status,Dev Status,Assigned To
Version 1.0  (http://install.diawi.com/LpixTt),,,,,,
DA-001,Email should be in Caps.,Reset Password,Low,Closed Fixed,Fixed,Anu
DA-002,"""Send Me link"", complete button text should in caps.",Reset Password,Low,Closed Fixed,Fixed,Anu
DA-003,Header size should be decreased.,Reset Password,Low,Closed Fixed,Fixed,Anu
DA-004,Header size should be decreased.,Create an Account,Low,Closed Fixed,Fixed,Anu
DA-005,Unable to upload the picture.,Create an Account,High,Closed as Not a Bug,Not a Bug,Anu
DA-006,Email keyboard should pop for email address field,Create an Account,Medium,Closed Fixed,Fixed,Anu
DA-007,Account creation crashed the app.,Create an Account,High,Closed as Not a Bug,Not a Bug,Anu
DA-008,"If user tries to login without adding image, required parameter alert is displayed.",Create an Account,High,Closed Fixed,Not a Bug,Anu
DA-010,Date of birth calender icon is bottom aligned it should be center aligned.,Create an Account,Low,Closed Fixed,Fixed,Anu
DA-011,Date of birth and No of dives should not have colon in front.,Create an Account,Low,Closed Fixed,Fixed,Anu
DA-012,"FeMale should be written as ""Female"".",Create an Account,Low,Closed Fixed,Fixed,Anu
DA-013,"User Name should be written as one word ""Username""",Create an Account,Low,Closed Fixed,Fixed,Anu
DA-014,Check box of terms  and conditions should be moved left,Create an Account,Low,Closed Fixed,Fixed,Anu
DA-015,Terms and condition text should be left aligned to the box,Create an Account,Low,Closed Fixed,Fixed,Anu
DA-016,Login and back button should be moved upwards,Login ,Low,Closed Fixed,Fixed,Anu
DA-017,"Sign up and Guest should be moved a bit center towards the screen, and up from the border of the screen",Login ,Low,Closed Fixed,Fixed,Anu
DA-018,Tapping on login as guest crashes the app.,Login ,High,Closed Fixed,Fixed,Anu
DA-019,"At email field, email keyboard should be present",Login ,Medium,Closed Fixed,Fixed,Anu
DA-020,"In desgin screens the place holder text is displayed as Username, but in app its mentioned as Email or User Name",Login ,Medium,Closed Fixed,Fixed,Anu
DA-021,Incorrect alert is displayed if user leave the password field blank and tap on enter,Login ,Medium,Closed Fixed,Fixed,Anu
DA-022,"If the user login with facebook id without date of birth user is unable to sign in, an alert is displayed ""No date of birth"" is displayed and user navigated to login screen ",Login ,Medium,Closed Fixed,Fixed,Anu
DA-023,"In the placeholder text of login screen , username is displayed . however , if the user enters a wrong username then the error is displayed as ""Entered email is not registered with us"" .  
",Login ,Medium,Closed Fixed,Fixed,Anu
DA -024,"According to the design , username should be used as a credential in the login field , not email address.
",Login ,High,Closed Fixed,,Anu
DA -025 ,"Log in with facebook button is missing from the log in screen in samsung core 2.
",Login ,High,Closed Fixed,Fixed,Anu
DA-026,"Images are clicked as cut outs , they should be clicked as buttons.
",My Profile ,Medium,Closed Fixed,Fixed,Anu
"DA - 01
","when the user uploads a photo , the blurred image and profile photo was displayed
 at a different angle . ",Edit Profile ,High,Reopen,Fixed,Anu
