SL. No.,Bug Summary,  Screen name,       severity,     QA status,Dev status,Assign To,Device/Panel,Issue type,Comment,Dev Comment
1,screen should not be scroll upside fully after tap on any text field.,create account,medium,Open,,,6s+,UI,Done,
2,change the effect of the image after tap on reset without any change.,create account > add profile pic,high,Open,,,6s+,Functional Issue,Done,
3,blurred highlighter some time display short in size and then increase automatically and sometime highlighter touches the bottom,Search,medium,Open,,,6s+,UI,Done,change Controller
4,user's name is not align (not in center),user profile,low,Open,,,6s+,UI,Done,2 hrs
5,somtime (open the application after kill) Notification highlighter blink ,Notification ,low,Open,,,6s+,UI,Done,
6,sometime Following / Followers highlighter display above the Text ,Following / Followers,low,Open,,,6s+,UI,Done,
7,No Blurred image' text is display on the People screen,search >People,medium,Open,,,6s+,UI,Done,
8,"sometime 'No activity found' display on Notification screen and vice-versa , update later",Notification / Activity,medium,Open,,,6s+,Functional Issue,Done,
9,edit icon above the profile pic should be in center of the circle,user profile,low,Open,,,6s+,UI,Done,
10,display grey space on the left corner on the cover photo,user profile,high,Open,,,6s+,UI,DoneDone,
11,Following/Followers and back arrow button are not align ,Following / Followers,medium,Open,,,6s+,UI,as Per Design,
12,Tell us about yourself data display above the user's image/name,user profile,high,Open,,,6s+,UI,Done,
13,blur intensity progress bar value should be change as 'Brightness / blur size' after chnage the bar continuosly,blur Effect,medium,Open,,,6s+,UX,Not a bug because its suppose user continiuosly do the same it cause problem.,
14,screen name 'Blur Effect' is missing,blur Effect,high,Open,,,6s+,UI,Done,
15,Blur Size value = 60 toches the progress bar ,blur Effect,low,Open,,,6s+,UI,Done,
16,should display '1 post' not '1 posts' on Tags screen ,Search > Tags,low,Open,,,6s+,Text Issue,Done,
17,comment icon should not touch the bottom line,Seach > Tags,medium,Open,,,6s+,UI,Done,
18,App crash while tap on Edit post ,search > Tags > edit post,high,Open,,,6s+,Crash,Done,
19,camera icon is not displayed after tap on comment ,user listing screen > comment,high,Open,,,6s+,Functional Issue,Done,
20,complete bottom tab bar hide ,user listing screeb > comment >tap on camera > close,high,Open,,,6s+,Functional Issue,Done ?,
21,unable to navigate to tag screen aftet tap on hashtags,user listing screen,high,Open,,,6s+,Functional Issue,,
22,home screen header color is different from all other screen,Home screen ,medium,Open,,,6s+,UI,p3,
23,"if zoomed out the image on Effects screen and then upload , white space display above/under the image",details screen / user listing profile screen,high,Open,,,6s+,Functional Issue,p3,
24,screen Flickering when scroll screen slowly,User listing profile,high,Open,,,6s+,Functional Issue,need to discuss with Shrikant sir,
25,should not able to tap on all social media links in one time ,share ,high,Open,,,6s+,Functional Issue,done,
26, 0 like 2 more likes    2 likes to unblur   .. are not align ,user profile/ Tag screen,low,Open,,,6s+,UI,done,
27,image repeated on unblurred screen ,unblurred,high,Open,,,6s+,Functional Issue,Done,
28,user should not be able proceed to the next screen without blur ,blur Effect,high,Open,,,6s+,Functional Issue,Done ?,
29,"if image upload without add caption, Tag and Location then previous image's add caption and comment are displayed on that picture ",camera > picture > user listing profile,high,Open,,,6s+,Functional Issue,,
30,sometime screen freeze and app hang ,blurred / unblurred,high,Open,,,6s+,Functional Issue,done,
31,screen freeze after swipe the blurred / unblurred screen and screens not smooth,blurred / unblurred,high,Open,,,6s+,UX,Done,
32,user name tab header type is displayed above the photo while scroll up/down,Home screen ,high,Open,,,6s+,UI,,
33,Home screen data is repeated while scroll up/down continously,Home screen ,high,Open,,,6s+,Functional Issue,done,
34,sometime notification batch count display after read the notifications,notification ,high,Open,,,6s+,Functional Issue,done,
35,should be sunny instead of sunny's (sunny's commented on shubham's photo ),Activity ,low,Open,,,6s+,Text Issue,,
36,Commented picture should be displayed in 'sunny tagged you in his comment',Notification ,medium,Open,,,6s+,General,,
37,Blurred header display above the comment screen ,home screen > comment,high,Open,,,6s+,UI,,
38,should not have space between notification ticket and icon,notification ticket,medium,Open,,,5C,UI,its ok nothing to change,
39,Share on Facebook is not working,home screen ,high,Open,,,6s+,Functional Issue,done,
40,previous image comments displayed on new uploaded pictures,user listing profile,high,Open,,,6s+,Functional Issue,,
41,Footer line width on the last image should be same as above ,user listing profile,low,Open,,,6s+,UI,,1hrs
42,previous picture location is displayed on Edit post even location is not added while uploading,user listinf profile,high,Open,,,6s+,Functional Issue,,
43,comment text box is covered by the keypad,details screen > comment ,high,Open,,,6s+,UX,Done ,1 hrs
44,social media sharing is not working,,high,Open,,,6s+,Functional Issue,Done rest of instragram,2 Days
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,DONE TASK - ,,,,,,,,,
,,,,,,,,,,
,"3. The comment count is incorrect and also the comment is not showing up if the comment is done from the profit, tried this with user name “test user”.-  Unable to reproduce.",,,,Done,,,,,
,4. In Blurred and Blurred Screen the Line is smaller and then grows bigger. - DONE,,,,Done,,,,,
,6. Post Count is not showing correct for other user profile. - its issue with old account (create a new one its working perfect),,,,Solve by backend,,,,,
,7. Incorrect profile is showing from search history. - DONE,,,,Done,,,,,
,8. Add a Place holder and download speed is an issue on Image full screen.,,,,Done,,,,,
,9. Image Dimension is square and In full screen it should be aligned in centre.,,,,Done,,,,,
,10. Snap Chat Photo has black bars in the feed,,,,Unknown,,,,,
,"11. On Home Screen, if user has scrolled down and the user clicks again on home it should take to top. ",,,,Done ,,,,,
,12. Slider should be removed from blurred to unburied screen ,,,,Done,,,,,
,"13. In iPhone 6s Plus, Description is scrollable itself. and the space between the username and description is big but not in iPhone 5.  (Not found so have to investigate the issue.)",,,,Done ,,,,,
,14. States of Hearts is stretched and image is incorrect. ,,,,Done,,,,,
,"15.  on Comment screen from the feed screen also in the profile, It should not show tab bar. ",,,,Done,,,,,
