Updated on 2 April 2025,,,,,,,,,
,,,,,,,Investment ,,Current 
,,,,loan,,earning ,current ,crypto,4000000
car EMI ,25000,,,4000000,37000,310000,SIP 1.2 ,$780,
Home EMI,40000,,,600000,,64000,mirage 4500000,,
Home loan kanpur,12500,,,1200000,25000,80000,,,
Protien and expenses ,10000,,,,,,,,
kam wali bai,2500,,,264000,6000,,,,
mummy,4000,,,,,,,,
mummy salesh health insuarence ,1600,,,,,,,,
term insuarence ,950,,,,,,,,
credit card,1500,,,,,,,,
helth insurance ,,done yearly,,,,,,,
car wash ,1300,,,,,,,,
fuel ,10000,,,,,,,,
extra spent ,20000,,,,,,,,
electricity ,4000,,,,,,,,
mobile recharge ,1000,,,,,,,,
Invest ment ,,,,,,,,,
SIP,100000,,,,,,,,
NPS,4000,,,,,,,,
New skill,6000,,,,,,,,
