"ANDROID APP - https://drive.google.com/drive/u/0/folders/16AXC2RpXUPhlqSIx9MrRzzx0MW4-SvOZ
IOS APP - https://i.diawi.com/beWB8t
Username - saurabh.tomar@appinventiv.com
Password - Qwerty@12345
Known Issues Document: https://docs.google.com/document/d/1tBHm8us7KISIU3sS8vjNJ2ueNcJNglAs9Wj84cA28Rg/edit",,,,,,,
,,,,,,,
,,,,,,,
Milestone 1,Status,LN Dep (Y/N),Design Dependency (Y/N),Comments,LN team comment ,Date of completion (AI),LN team Review
Menu bottom configuration,Done,Y,Y (Need icons for sub-modules),"- Need missing icons of more updated comment on figma
- Bottom menu configure functionality is pending. 
***Bottom tab according to the access more tab is fixed for fifth tab and for now any other tab than order screen showing more screen 
(it will work when more modules will be completed with the milestones)***",,"21st August 2023
**All the dependency should be resolved by LN team which are mentioned in the comments***",
Timezone managemet,Done,,,,,,
Application right to left,Done,N,,"-- In case of Rtl the typing will we start from right to left.
-- Need to cross-check the RTL that all elements are shown correctly or not.",,,
date formate management,Done,N,,,,,
Dark Mode,Done,Y,,- Some screen needs dark mode screen for which AI team is verifying the components.,,,
"On-Boarding (Login, Forgot password email, Password reset on web)",Done,N,,"Deeplinking for - Forgot password, Set-new password is pending which can be taken up at the last milestone with Notification module. (Suggestion by AI team)",,,
"Login - with SSO, 2 Factor.",Done,,,,,,
Settings - Profile,Done,Y,,Vishwanath had said he will be resolving the toast message in the last as AI team will give all the api's that requires this fix at once.,,,
Settings - Language,Can be taken up in milestone 3,Y,,AI team shared sheet for dispatcher strings with LN for translation,,Mandar shared the sheet on 20th september.,
Settings - Timezone,Done,N,,,,,
Settings - Notifications,Shifted in 3rd milestone,,,,,,
Settings - Theme,Done,,,,,,
Settings - Help,Done,Y,,Designs recieved on 16th August from maanvi,,,
Settings - Help - Related Articles,Done,,,,,,
Settings - Help - Popular Questions,Done,,,,,,
Settings - Help - Visit Help Center,Done,,,,,,
Settings - Help - Developer Portal,Done,,,,,,
Settings - Help - Product Tour,Done,Y,,"""- Update api on 100% complete progress 
-  Also the """"No data is showing """" on few accounts like: saurabh.tomar@appinventiv.com""",,,
Settings - Help - Ask a Question,Done,,,,,,
Settings - Help - Log a Ticket,Done,Y,,"We dont have any account to verify module on production, Rest its working on Dev8.",,,
Settings - Help - What's New,Done,,,,,,
Settings - Help - Explore,Done,,,,,,
Settings - Content - Privacy Policy,Done,,,,,,
Settings - Content - Terms and Conditions,Done,,,,,,
Settings - Log out,Done,,,,,,
Page Tutorials,Done,N,,"Pending Coach Marks, Dependent on other milestones.",,,
"Chats and Comments/Inbox (Media sharing, Location sharing, Chat messages, Filters)",Done,,,,,,
Order List View - List of Orders (Complete Module),Done,,,,,,
Order Map View - List of Orders,Done,,,,,,
Order List View - Calendar,Done,,,,,,
Order List View - Segments,Done,,,,,,
Order List View - Advanced Filters,Done,Y,,- AI team needs approval on process of integrating APIs for drodown from LN.,,,
Order List View - Filter,Done,Y,,- AI team needs approval on process of integrating APIs for drodown from LN.,,,
Order List View - Sort,Done,,,,,,
Order List View - Download Report,Done,,,Discussed withvishwanath.r@loginextsolutions.com he will clear the dependency in it,,,
Order List View - Expand/Collapsed Cards View,Done,,,,,,
Order List View - Help - Related Articles,Done,,,,,,
Order List View - Pull to Refresh,Done,,,,,,
Order List View - Assign Now - Manually Assign to Delivery Associate,Done,,,,,,
Order List View - Assign Now - Auto-Assign to Delivery Associate,Done,,,Suggestion from AI - Toast messages is showing we can show loader to display the assigning progress.,,,
Order List View - Assign Now - Manually Assign to Carrier,Done,,,,,,
Order List View - Assign Now - Auto-Assign to Carrier,Done,,,Suggestion from AI - Toast messages is showing we can show loader to display the assigning progress.,,,
Order List View - Assign Now - Manually Assign to Trips,Done,,,,,,
Order List View - Assign Now - Auto-Assign to Trips,Done,,,Suggestion from AI - Toast messages is showing we can show loader to display the assigning progress.,,,
Order List View - Call Delivery Associate,Done,,,,,,
Order List View - Call Customer - Pickup,Done,,,,,,
Order List View - Call Customer - Delivery,Done,,,,,,
Order List View - Notify Delivery Associate,Done,Y,,"Implemented but ""Orde fleet mapping not found"" toast message is showing when notify any DA.",,,
Order List View - Notify Customer - Pickup,Done,Y,,"API integrated but Need to verify the notification flow that the message, email & call received to the user or not with LN team. ",,,
Order List View - Notify Customer - Delivery,Done,Y,,"API integrated but Need to verify the notification flow that the message, email & call received to the user or not with LN team. ",,,
Order List View - Alarms,Done,,,,,,
Order List View - Notes,Done,,,,,,
Order List View - Select Card,Done,,,,,,
Order List View - Bulk Actions - Bulk Update,Done,,,,,,
Order List View - Update Status,Done,Y,,- Reason Api need to fix on production by Vishwanath,,,
Order List View - Update Address,Done,,,,,,
Order List View - Override Status,Done,,,,,,
Order List View - Mark As,Done,,,,,,
Order List View - Optimize Packing,Done,,,,,,
Order List View - Print AWB,Done,,,,,,
Order List View - Raise Exceptions,Done,,,,,,
,,,,,,,
***Note - For JIRA issues we will update the cards which needs to be verified by the LogiNext Team.***,,,,,,,
