Module,Issues / Pending Work,,Comment 
,,,
Payments - Shipper Rate Chart,"CR two weeks minimum as whole flow will be updated with error states needs to be added
Add Form
Update Form
Copy Form",moved to Milestone 7,Our work has being null because LN team has changed the APIs wthout discussing with us. Mail chain is already going on
Payments - Wallet Balance,No open issue in this module and was approved from shivani (Done),,
Payments - Wallet Transactions,No open issue in this module and was approved from shivani (Done),,
Delivery Associate - Rate Profile,"Need to add error state
Add form
Update form 
Open issues internal
Restructuring of the form required",,
Delivery Associate - Payment Transactions,"Need to add error state
Open issues internal",,
Bonus,"Copy Bonus need to fix full form 
Update Bonus pending
Error States
Bonus slab pending",,
bonus copy,,,
Payouts,No open issue in this module and was approved from shivani (Done),,
Carrier - Rate Profile,"Need to add error state
Add form
Update form 
Open issues internal
Restructuring of the form required",,
Contract Master,"It was partially approved there were some issues at client end which are raised by our team if due to those some changes needed at our end that will take time else done
Add error state
Add form 
Update form ",,
Territories,No open issue in this module and was approved from shivani (Done),,
Notifications of above screens,Till now it was not in the scope as BE is working on it now we will need to add navigation on notifications of above modules,,
Tutorial of above screens,Not needed,,
Product Tour of above screens,Not needed,,
Help Center Articles,Not needed,,
Total Issues Logged Internal,146,,
E2E,"Copy & Update Forms
Print AWB",,
DA,"Map in Add & Update Form 
DA timeline
Da details => trips graph",,"DA timeline updated design required
Will need updated design for map flow for DA form"
Chat voice notes,,,
Map settings options,,,
,,,
RTL only in m5 modules,,,
Dark only in m5 modules,,,
Picked Item from M1 to M4 ,,,
E2E,"Copy & Update Forms
Print AWB",,
DA,"Map in Add & Update Form 
DA timeline
Da details => trips graph",,
,,,
,,,
,,10 November,
