Comments,Done,Bugs and Errors,,Questions on changes,Missing,Admin panel,user-login,,DONE
,,,,,,,,,NOT DONE
,,Support function is missing.,Was not in scope,How you are planning to give support ?,,,x,,IN REVIEW
,,,,,,,,,Not in Scope
,,"The ""where should it be delivered"" function is missing (like the Viggo taxi app)",Was not in scope,Please explain,,,x,,DONE ACCEPT FROM ANDREAS
,,,,,,,,,
,,"Pick-up place must be plotted in to be ""H / F calf shed 20 2450 kbh sv"" in addition, you must be able to click on ""pin point"" and press ""show road""",Was not in scope,We got it,,,x,,
,,,,,,,,,
,,Edit image is missing,"Was not in scope, but We'll do it","Design missing, Do we have to add this feature on the top of edit screen?",,,x,,
,,,,,,,,,
Download -> https://easyupload.io/54g997,,"Personal data policy and terms and conditions are missing (Sent to you on messenger ""App-conditions.PDF"" and ""Personal data policy.pdf"")",Done,,,,x,,
,,,,,,,,,
,,previous orders missing number of soundboxes and number of batteries.,,,,,x,,
,,,,,,,,,
,,edit profile it needs to save (address),Done,,,,x,,
,,,,,,,,,
,,edit profile that does not have to be +45 in front of tel,We are not taking it in Signup as well ,,,,x,,
,,,,,,,,,
,,"Headlines are not centered ""edit profile"" ""privacy policy"" ""previous orders"" ""conditions""",DONE,,,,x,,
,,,,,,,,,
,,"when pressing ""resever"" the top is white",,,,,x,,
,,,,,,,,,
,,inside where to select package price menu button is not located in the same place.,Please clarify,Is it the same place,,,x,,
,,,,,,,,,
,,"when entering cards does not fill the entire page, you can see the last page at the bottom",it's a reepay screen we don't have any access of it,,,,x,,
,,,,,,,,,
,,when entering card (cancel button) does not work,it's a reepay screen we don't have any access of it,,,,x,,
,,,,,,,,,
,,"Once you have reserved a soundbox, you must move on to a page where you can see ""upcoming bookings""","Admin Side is alreaady upcoming bookings, If you are asking for the user side it is a change not in screen",,,,x,,
,,,,,,,,,
,,"When ordering for immediate delivery, you must go on to a page where you can see ""upcoming bookings""",There is no immediate delivery feature ,,,,x,,
,,,,,,,,,
,,"When I accept the task and am on my way, the customer receives a notification and can see me on the map in the app.",done,,,x,x,,
,,,,,,,,,
Credit removed on user login?,,menu remove Credit,done,,,x,,,
,,,,,,,,,
,,"latest order, new order can not remove or deliver ""pammy"" ""ami"" ""vaibhav""",,please explain,,x,,,
,,,,,,,,,
,,"latest order, new order lacks to be able to see number of soundboxes and batteries. Can only see total number",Done,,,x,,,
,,,,,,,,,
,,"latest order, new order needs to be able to accept assignment","Done Order already accepted, Admin can cancel the order, No need of accepteance because there is only one admin.",,,x,,,
,,,,,,,,,
,,"latest order, new order one must be able to click on the address so the route is calculated.","Not in scope, Already discussed and finalised the flow multiple time with Mikkel",Where the calculated route will be visible,,x,,,
,,,,,,,,,
,,"latest order, new order must be able to see the customer phone number, in case of problems.",it's a change but we'll do,,,x,,,
,,,,,,,,,
,,"latest order, order detail same errors and omissions as in ""latest order, new order""",Done,,,x,,,
,,,,,,,,,
,,"add product needs to be able to click on ""speaker"" to see all created speakers, as well as delete them.","Not in scope, Already discussed and finalised the flow multiple time with Mikkel","No Deletion discussed, Please let me know will it be deleting, editing and all",,x,,,
,,,,,,,,,
,,"add product needs to be able to click on ""batteries"" to see all created batteries, as well as sold them.","Not in scope, Already discussed and finalised the flow multiple time with Mikkel",,,x,,,
,,,,,,,,,
,,"add product, edit price should be ""24h"" ""48h"" and ""72h"" and not ""day1"" ""day2"" and ""day3""",Okay but if the proce will be edited then it will be edit for all the added or newly added battery or speaker,,,x,,,
,,,,,,,,,
,,"add product, edit price, battery it must be possible to set only one price and not 3. this price applies for the entire rental period.",Not in scope,Please check your comment on row 53 and 55 please specify what to do?,,x,,,
,,,,,,,                                  ,,
,,payments in total would like to be able to see ex VAT and incl VAT,Please let. me know how it work,"Please let me know the screen because there is no tax calculation screen on app side, And please let me know the taxes that needs to apply on the amount",,x,,,
,,,,,,,,,
,,"edit profile is missing (must be able to change ""Email"" and ""Password"")",Not in scope,"Admin don't edit the profile but if you want we'll do, Clarify this more ",,x,,,
,,,,,,,,,
,,All headings and text must be centered,Done,,,x,,,
,,,,,,,,,
,,forgotten password function does not work,Done,,,x,x,,
,,,,,,,,,
,,menu needs to be able to add and delete pickup location,Not in scope,Please explain ,,x,,,
,,,,,,,,,
,,"log out when you log out it says in the box ""cancel"" which must say no instead",,,,x,,,
,,,,,,,,,
,,"""latest order"" ""new order"" one must be able to search for an order using name.",,,,,,,
