Dispatcher,,,,,
Milestone ,Estimated Delivery date ,Dependencies status,Problem,,
M1 to M4 Pointers ,"17th July -24 july

","Not done it is impacting th delivery, I'm seeing this the delay here for 1 week because it's already being 3 weeks and only 1 pointer is resolved 

https://docs.google.com/spreadsheets/d/1Yc3IiFxwdlXzL__obiTLSWhF-jIouOKV5n85H3mZgtw/edit?gid=202245865#gid=202245865.
","Keys are getting changed without any confirmation and update this is thwe biggest setback i'm seeing

https://docs.google.com/spreadsheets/d/1ph-GdwWXb33ShHQibHCHbgqOQwrz3NlMWM8fRXpkn-A/edit?gid=0#gid=0",,
dependencies ,,We need 8-9 working days on dependencies development once it will resolve rised on April,,,
M5 ,16 Aug - 23 Aug,"Dependent on M1 to M4 pointers then only team will move to M5

""https://loginextsolutions.atlassian.net/browse/ADJ-1692
https://loginextsolutions.atlassian.net/browse/ADJ-1657
https://loginextsolutions.atlassian.net/browse/ADJ-1656
https://loginextsolutions.atlassian.net/browse/ADJ-1567
https://loginextsolutions.atlassian.net/browse/ADJ-1564""",,,
M6 ,16 Sep - 23 Sep,we need 20 working days to complete not seeing as such any dependency,,,
M7 ,16 Sep - 23 Sep,we need 20 working days to complete not seeing as such any dependency,,,
UAT ,30 Sep - 7 Oct,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Shipper plan ,,,,,
,,,,,
Milestone 1,Done ,,,,
Milestone 2,"8/15/2024

8/22/2024","SWA dependencies not closed since 1 month  project started from 7 June, today LogiNext Team has resolved some pointers but still not done
Titel: SWA- Open Questions
Link: https://docs.google.com/spreadsheets/d/1Yc3IiFxwdlXzL__obiTLSWhF-jIouOKV5n85H3mZgtw/edit?gid=202245865#gid=202245865.

Note: LN team is still not clear on some pointers 

eg=>Branding profile 
=>Tracking link 
=> Global search updated just now",,,
Dependencies ,,We need 7-8 working days once of dependencies development once it will resolve rised on April,,,
Milestone 3,23 September,We are still not clear. LN team is updating PRD and designs ,,,
UAT ,7 Oct,,,71  pointers arwe solved on 8th April ,"Amit, Shivance is working on the plan of completion of remaining pointers they will provide you the plan oth April only "
