Reported Date,Platform,Description,Status,,Summary,Count - 21 Sept 2022
Aug 18,Android,"Wifi setting
-list should display even before refresh the screen",Done,,Open Bug Count,42
Aug 18,Android,"Main force cut duration
-Make options clear when 1 is already selected like existing app",Done,,Today Reported Bug,6
Aug 19,Android,"Wifi setting
-Password should be hide by default",Done,,Today Resolved Bug,13
Aug 22,Android,"Usage
-Power cut trends
-Month name is cropping from bottom",Done,,Today Reopen Bug,2
Aug 23,Android,"Share device
-No. of people is coming not fine ",Done,,Total Closed Bug,13
Aug 23,Admin,"Share device
-Image is not getting updated once changed from edit profile",Done,, Enhancement Count,7
Aug 23,Admin,"My device
-Not able to delete product showing error (Shared device)",In QA,,Android Build Version,0.0.4 (9 Sept)
Aug 24,Android,"Usage 
-Power cut trends
-Graph value disables after reached 35",Done,,Need to diiscuss,1
Aug 25,Android,Alarm setting>Alarm if loads exceeds>By default its showing different % and on drop-down its showing different ,Done,,,
Aug 25,Android,Upload Profile picture -Selected picture should refresh on edit details screen(Take photo and Choose photo),Done,,,
Aug 25,Android,Add device >product nick name max 12 characters exceeding>Change the limit validation,Done,,,
Aug 25,Android,"Enhancement- Profile>setting - User tap on the card anywhere card should be clickable.
",Done,,,
Aug 25,Android,Edit profile>Edit Address>Space is not working in city field,Done,,,
Aug 25,Android,login with fb is not working showing an error message app not integrated.    ,Done,,,
Aug 25,Android,Add device >product nick name field should accept only chars and numeric value and special characters,Done,,,
Aug 25,Android,Edit Address>Address is taking emojis,Done,,,
Aug 25,Android,"Edit Address>After entering valid pincode , make city and address field clear",Done,,,
Aug 25,Android,Edit Address>State and District fields values are cropping,Done,,,
Aug 25,Android,Setting>Switch language>Make English selected as of now ,Done,,,
Aug 25,Android,Configure device screen - change the text Configure DUPS to Configure device in the second step .,Done,,,
Aug 25,Android,Configure device - after Downloading user manual notification should be displayed on the phone notch.  ,Done,,,
Aug 26,Android,Edit Profile>Take photo-Unable to upload picture ,Done,,,
Aug 26,Android,"Add Device>Attach product bill-upload bill only image(jpege,jpg,pn and pdf)",Done,,,
Aug 26,Android,Usage>Power cut trends>Graph is not increasing - WIFI,Done,,,
Aug 26,Android,Usage>Load trends>Graph speed is very fast - WIFI,Done,,,
Aug 26,iOS,when open my devices sometime bluetooth not search devices,In Progress,,,
Aug 26,iOS,when selecting wifi app will not working  (no connectivity and Communication  will happen),In Progress,,,
Aug 26,Android,After re login from social dummy address is showing in Address screen,Done,,,
Aug 26,Admin,Sorting is not working (it was working on second click),Done,,,
Aug 26,Admin,"Alignment issues
- Mozilla firefox browser",Done,,,
Aug 29,Android,Mobile number should not start with 0,In Progress,,,
Aug 29,Admin,Scroll bar width is different in Mozilla Firefox.,In Progress,,,
Aug 29,Admin,"Mozilla Firefox:V-Guard>V-Guard Products> All Products , ceiling fans button layout is changed.",Done,,,
Aug 29,Admin,"Mozilla Firefox:V-Guard>Dashboard, Dashboard UI is a bit zoomed in.",Done,,,
Aug 29,Admin,Mozilla Firefox:V-Guard> Registered Products>Start date- End date box is not aligned.,Done,,,
Aug 29,Admin,"Mozilla Firefox:V-Guard>User Management, Scroll bar is changing colour to Red when clicked and hold.",Done,,,
