x,Module,Blockers,AI Comments ,LogiNext Comments
Milestone 1,,,,
Milestone 1,Menu bottom configuration,"1: Based on the access role, more options/bottom configuration values will be manageable from the backend
But currently, if the user changes the access for any role then nothing is happening on the web portal.Same changes in the bottom navigation are not reflecting in the application.Please check what is the issue.
1.1 Need icons from the client side.",Harsh will share the pending icons list with the  LogiNext team.   (1/August/23) @maanvi and Kanishk- Harish has provided list on jira-ADJ-250,"Maanvi: Will be provided by 18 Aug 2023

Maanvi: Released on 18 Aug 2023"
Milestone 1,Timezone management,2: Is the list of time zone is manageable from the system preferences module of the dispatcher? If Yes then If the user changes the time zone format from the backend then it will reflect overall in the applications or on specific screens?,Harsh will implement the timezone values & the selected timezone value will be shown on the order listing screen. - Resolved,
Milestone 1,Application right to left,"3: Need language translation from the client side.
4: Need to clarify one thing if one user will be allowed to login on multiple devices from the same account at that time? if yes then what will happen if the user changes the language from one device and check in other devices?
",Although got response of vishwanath on this that it will not work on other device or we will not implement any listener on this but let's also confirm with kanishk. - Resolved,
Milestone 1,Unit system management,"5: Is the unit system will be manageable in the application from the system preferences of the dispatcher backend ? 
Because there is no design find in figma for the unit system management.",Unit system is managing from the system preferences of the dispatcher & it will be reflected overall the application.- Resolved -  Will check when implemented in the application.,
Milestone 1,Date format management,"6: Is the date format system will be manageable in the application from the system preferences of the dispatcher backend? 
Because there is no design find in figma for the date format management.
",Date format is managing from the system preferences & it will be reflected in overall the application . - Resolved,
Milestone 1,Dark Mode,"7: Dark mode design is not available for all application screens in the Figma design. So need dark mode designs from the client side?
",Implemented but need a design from the Loginext Team if there are any issues on any screen.- Solution received & the LogiNext team is working on it.,"Maanvi: These designs are already there in the file under componets each and every section has been provided in dark mode. This was discussed in scrum as well and no open points was raised for the same nitin.sharma1@appinventiv.com amit.singh@appinventiv.comas discussed in scrum on 16th Aug, this has been Resolved"
Milestone 1,On-Boarding,9: If the user keeps the App in the backlog for a longer period of time and comes back on the app again then the app will display a splash screen followed by an onboarding screen. (Required time period value from the client side so that developer will manage this scenario)?,No such action needs to be required.,
Milestone 1,"Login - with SSO, 2 Factor.",10: Have not found any solution for this tried different client ID for both android and ios we will setup this again if then able to resolve this social login is working but not able to configure it with web,Discussion pending with Vishwnath,
Milestone 1,Settings - Profile,11: Need proper toast message from the Api which is showing on the remove & update profile image action.,Vishwanath  had said he will be resolving this in the last as AI team will give all the api's that requires this fix at once.,
Milestone 1,Settings - Language,"12: Need language translation from the client side.
13: Currently, the application is restarted from the onboarding screen again after changing the language in case of all languages. (Confirm with Kanishk whether this is the right flow or not.) ? In case of the Arabic language application launching from the onboarding screen again process will be required to display the item from left to right. But in case, if changed in other languages it should be required to launch the application again or not?",Need to implement the language label api if any label data do not exist then that translation translation will be shared by the LogiNext Team.  ,
Milestone 1,Settings - Theme,14: System + Dark Mode + Light Mode (These three options need to implement as per the discussion with Kanisk on the demo call) (So need a design of this functionality & also need an explanation regarding this flow from the client side.)?,Harsh will implement the dropdown with these three options as per the discussion. - Resolved,
Milestone 1,Settings - Help,15: Users will be able to search for the help topic and articles will be fetched from the LogiNext support portal. (As per the mentioned line team is understanding implementing the same help search as the web functionality required in the app through which users will find the articles & other required things same. Is this correct or not)? Need designs for Help screen.,Need design from the LogiNext Team for the help search field.Maanvi,"Maanvi: These designs are already present in the design file under Settings page. This was mentioned in one of the scrum too nitin.sharma1@appinventiv.com amit.singh@appinventiv.comas discussed in scrum on 16th Aug, this has been Resolved"
Milestone 1,"Settings - Help - Developer Portal
Settings - Help - Related Articles
Settings - Help - Visit Help Center
Settings - Help - Popular Questions",16: Need a solution from Vishwanath side for Session handling between the web & app.,Users need to login again on the Web portal to access the web pages as per the discussion with LogiNext team.,
