Date,,Work done(Kindly explain the work in detail),Total Hour
2 December 2021,,,
3 December 2021,3,Worked on setup project puur and meeting with client,
4 December 2021,,,
5 December 2021,,,
6 December 2021,4,Worked on configure project and understand the logic of asap puur,
7 December 2021,4,Worked on understanding for asap puur iteration logic and client meeting,
8 December 2021,4,Worked on started configuring project with asynchronise concept of node and removed sync behaviour ,
9 December 2021,4,Worked on integrate logging in the project for all request and db logging,
10 December 2021,4,Worked on removed mongodb connection with raw connection and intstall mongoose and configured mongoose connection with db,
11 December 2021,9,Worked on rewrite api for asap puur with all the functionalities except 3 round puur logic.,
12 December 2021,9,Worked on implement 3 round puur logic with async for asap puur and testing,298
13 December 2021,4, Started working on rewrite async api from sync behaviour for get match pal,
14 December 2021,4,Worked on manage write logic for get active pals for api's,
15 December 2021,4,Worked on write logic for mapping active pals with slots coming from get slots,
16 December 2021,4,Worked on manage asap pals list function.,
17 December 2021,4,Worked on resolve the issue of maximum callstack exceeded issue for slots list,
18 December 2021,9,Worked on R&D to resolve the issue and to resolve the variable override issue,
19 December 2021,9,Started working on slots frunctionality with timezone to getting the correct slots for active pals,
20 December 2021,4,Worked on integrate moment liberary for timezone issue and slot issue,
21 December 2021,4,Worked on RD for variable override issue when executing promises,
22 December 2021,4,Worked on add promise functionality with loop from callback to increase the performance,
23 December 2021,7,Worked on resolving the issue of bariable and date override issue for match pal api.,
24 December 2021,7,Worked on create logic for get the formated pals list for match pal api for next three days for 2 puur per day,
25 December 2021,9,Worked on manage 2 puur per day for next 6 day s and slots with timezone,
,,,
26 December 2021,9,Worked on create logic for get the formated pals list for match pal api for next three days for 1 puur per day,
27 December 2021,4,Worked on create logic for get next 5 days slots list.,
28 December 2021,4,Worked on rewrite async api for getPalSlots for common time of user and palUser,
29 December 2021,4,Worked on debugging of slots for common time,
30 December 2021,8,Worked on test and resolve the issues for matchpal api and get tested by theresa.,
31 December 2021,8,Worked on slots issue reported by theresa on the basis of time zone,
1 January 2022,4,Worked rewrite the api for send invite for puur pal,
2 January 2022,4,Worked on rewrite the recurring pal api and testing with Theresa,
3 January 2022,5,Worked on rewrite the get pals api from callback to async and get the two pals 1 male and 1 female logic if user is less then 7 days and not comleted 6 puur.,
4 January 2022,5,Worked on modiying the update and insert query for all the request to resolve with mongoose,
5 January 2022,4,Worked on get asap pals testing and solved the issue and get verified by Theresa,
6 January 2022,4,Worked on resolve the issue of recurring puur invite and conflict issue,
7 January 2022,4,Worked on calender sync issue with arjun and verified with theresa to resolve it.,
8 January 2022,9,Worked on call status issue with arjun and slots modificaiton issue and testing of update puur hour from user and get it resolved,
9 January 2022,9,Worked on UT of get match pal api and co-ordinate with arjun and verified with theresa,
10 January 2022,6,Worked on issues reported by theresa for cl and modification in notifications and and call satus and update in working hour issue from frontend,
11 January 2022,5,Worked on cl status modification suggested by theresa and debugging with arjun,
12 January 2022,4,Worked on debugging of create post api and reqrite create post api,
13 January 2022,4,Worked on debugging of delete post api and reqrite delete post api.,
14 January 2022,4,Worked on debugging of recurring puur to resolve and send the requets for recurring puur,
15 January 2022,8,Worked on rewrite the recurring puur logic and to send the notification to the same user twice,
16 January 2022,8,Completed the recuuring puur logic and UT of recurring puur logic,
17 January 2022,4,Worked on debugging of calender sync api with arjun,
18 January 2022,4,Rewrite the sync calender api and to reduce the cpu ussage and ram ussage,
19 January 2022,4,Worked on rewrite the get puur list api for all the puur to manage sync in calender,
20 January 2022,4,Worked on reqwrite the api for get selected date records in calender,
21 January 2022,4,Worked on debugging of puur slots with cross timezone user,
22 January 2022,8,Worked on manage slots for common with timezone and testing,
23 January 2022,8,Worked on manage calender sycing api handling and testing with theresa and arjun,
24 January 2022,4,Worked on resolved the issue to dots for calender with timezone,
25 January 2022,,,
26 January 2022,,,
27 January 2022,4,Worked on get pals api rewrite on the basis of selected date and timezone,
28 January 2022,4,Worked on demo the app and functionality to theresa and debugging of calender sync and testing,
29 January 2022,4,Worked on manage call status and Ut of calling and fix get pals api,
30 January 2022,4,Worked small issue fixes in get pal api on the basis of selection of time for user,
31 January 2022,4,Worked fixes for rating of user and puurId in api and UT of posts for indivisual user and common post.,
