Milestone for october ,,,,
items ,assigned to,Estimated Time,18th October,
3. Access roles,Shaikh,--,"Denial Tracker, D/C Tracker, To be Scheduled, Potential Patient List, Auth Tracker, Note Central, Supply & Order Manager, Clinician Note Tracker",
"3. Email send, forgot password",Shaikh,--,For New User Registration,
1. supply order management ,Shaikh,--,"Under Dashboard show request with ""Suppy Order Requests"" Table, Also give a button on each row to mark that request as completed","-Remove Employee in form, Rename ""Choose collegue"" to ""Select branch"""
8. calender ,Shaikh,--,,
7. message center ,Shaikh,--,,
9. dasboard item re-allinment ,Shaikh,--,,
5. copy insurance ,Shaikh,--,"When copy button is pressed. Copy the whole ins. co.  including ""Insurance company"" and  ""Ins. FAQ"" tabs both. But leave ""Group #"", ""Ins. Product Type""  and  ""Coverage Status"" fileds empty, Also  generate a new  ""Ins. Co. ID #""    The ""Ins. Co. .Name "" will  also be copied  over.
",
"4. POCs, Authrizations",Shaikh,--,Patient & Claims / Edit Claim / Care Plan & Authorization,
6. profile ,Shaikh,--,---,
"10. patient list, 102 form",,,,
ARCs2 ,,,,
exercise ,Shaikh,,,
Newsletter ,Shaikh,,,
Video calling ,Anurag,,,
Notification/ reminder,Shaikh,,,
email/forgot password ,Shaikh,,,
Form builder ,,,,
Form builder ,Shaikh,,,
