Work ,Status
Delivery feature sign off ,Done
Jira sign off,Done
Manual QA Sign off,Done
Front end code review sign off,Done
Backend code review sign offf,"Done, last script sent to Vishwanath waiting for the approval."
Automation test cases 1st sheet those was approved by Tejashree sign off till 22nd March,Done
Suggestion came from loginext after 30 March ,
Automation of Tooltip (Suggestion came on mid march from loginext),Done
Automation of header (Suggestion came on mid march from loginext),Done
Automation of last MR ,"all the pointers will be done by 17th April except API, Drag and Drop"
