Please add condition when that step will be active for each fo the delivery type,,,,
When booking type is FM ie. Pickup,,,,
Labels,Active step condition,FieldName for value in OrderDetails data,,
Created,PENDING,bookingStatus,bookingCreatedOnDt,
Requested,PENDING,bookingStatus,removed as discussed with kanisk,
Accepted/Rejected,ACCEPTED/CONFIRMEND/REJECTED,bookingStatus,"ACCEPTED = bookingConfirmedOnDt, REJECTED = bookingRejectedOnDt",
Out for pickup,INTRANSIT,orderStatus,pickupStartDt,
Picked up,PICKEDUP,orderStatus,pickupEndDt,
Cancelled,CANCELLED,bookingStatus,cancelledDt,
,,,,
When booking type is LM ie. Delivery,,,,
Labels,Active step condition,FieldName for value in OrderDetails data,,
Created,PENDING,bookingStatus,bookingCreatedOnDt,
Requested,PENDING,bookingStatus,removed as discussed with kanisk,
Accepted/Rejected,ACCEPTED/CONFIRMEND/REJECTED,bookingStatus,"ACCEPTED = bookingConfirmedOnDt, REJECTED = bookingRejectedOnDt",
Out for delivery,INTRANSIT,orderStatus,deliverStartDt,
Delivered,DELIVERED,orderStatus,deliverEndDt,
Cancelled,CANCELLED,bookingStatus,cancelledDt,
,,,,
When booking type is FMLM ie. Pickup/Delivery,,,,
Labels,Active step condition,FieldName for value in OrderDetails data,,
Created,PENDING,bookingStatus,bookingCreatedOnDt,
Requested,PENDING,bookingStatus,removed as discussed with kanisk,
Accepted/Rejected,ACCEPTED/CONFIRMEND/REJECTED,bookingStatus,"ACCEPTED = bookingConfirmedOnDt, REJECTED = bookingRejectedOnDt",
Out for pickup,INTRANSIT,orderStatus,pickupStartDt,
Picked up,INTRANSIT,orderStatus,pickupEndDt,Picked Up (This is when the first milestone is picked up from customer)
Out for delivery,INTRANSIT,orderStatus,deliverStartDt,It should find pickup end Dt first then it will highlight it
Delivered,DELIVERED,orderStatus,deliverEndDt,
Cancelled,CANCELLED,bookingStatus,cancelledDt,
