Main Category,Sub Category,Plan,Result
Camera & Sound Equipment,Aerial - Fixed Wing & Helicopter Pilots,15th March'23,https://docs.google.com/spreadsheets/d/1HHs9rJaQ-UY1B5Cfnr1VszSvST4JPXPxYCfqni49FnQ/edit#gid=1481095767
,Aerial Equipment,,
,Batteries / Battery Packs / Chargers,,
,Camera & Sound Equipment Manufacturers,,
,Camera Cars & Tracking Vehicles,,
,Camera Rentals - Motion Picture,,
,Camera Rentals - Still Photography,,
,Drones,,
,Motion Control,,
,Music Playback Services,,
,Raw Stock,,
,Sound Equipment Rentals & Sales,,
,Teleprompting & Cue Card Services,,
,Video Assist Services,,
,Video Cameras & Equipment,,
,"Video Display, Playback & Projection / Projectors",,
Grip & Lighting Equipment,"Booms, Cranes & Camera Support",22nd March,https://docs.google.com/spreadsheets/d/1_AHTbU95kUgxyxfuDTDmznpTyeFAmOjY3IAvXsCXJjE/edit#gid=176232757
,Climate Control Systems,,
,Construction Equipment Rentals,,
,Grip & Lighting Expendables,,
,Grip Equipment,,
,"Lift Equipment, Cherry Pickers & Scaffolding",,
,Lighting Equipment & Generators,,
,Production Equipment & Accessories,,
,Trucks & Vans,,
Location Services & Equipment,Air Charters,29th March,https://docs.google.com/spreadsheets/d/11wjb0yRTyvctfcvN6EwMkhaHlvJmqiDeqyKP-5tqPp4/edit#gid=1905441254
,Air Freight & Couriers,,
,Airlines,,
,Airports,,
,"Awards, Expos & Festivals",,
,Bus Charters,,
,Car Dealerships,,
,Car Rentals,,
,Cargo & Passenger Vans,,
,Caterers,,
,Communications Equipment,,
,Consulates General,,
,Crating & Packing,,
,Customs Brokers & Carnets,,
,Film Commissions,,
,Hotels & Short-Term Housing,,
,Layout Board Services / Layout Board / Floor & Surface Protection,,
,Limousine & Car Services,,
,Location Libraries,,
,Location Management & Scouts,,
,Locations,,
,Motorhomes & Portable Dressing Rooms,,
,"Moving, Storage & Transportation",,
,Permit / Parking / Traffic Control Services,,
,Portable Restrooms,,
,Production Services,,
,Security & Bodyguards,,
,Specialty Transportation,,
,Theaters & Stadiums,,
,Training Centers,,
,Travel Agencies,,
