Date,Task
,
14 March 2024,insurance page issue fixes
15 March 2024,Deductible Collect Scale component creation with dummy data
16 March 2024,Deductible Collect Scale component creation with dummy data
17 March 2024,Holiday
18 March 2024,add and edit api integration  Deductible Collect Scale
19 March 2024,delete api integration of Deductible Collect Scale & code pushed
20 March 2024,discusion for new tasks and code structure overview
21 March 2024,add company form reset fixes & code pushed
22 March 2024,air areo Html creation
23 March 2024,air areo Html creation
24 March 2024,Holiday
25 March 2024,icon crete for html & responsive check all pages
26 March 2024,angular project structure creation
27 March 2024,Api code setup in angular for air areo
28 March 2024,edit profile select disabled & add insurance 
29 March 2024,air areo Html creation
30 March 2024,air areo Html creation
31 March 2024,Holiday
