Overall Plan,,,,,Web Site dependencies,Name ,Date to be complete,
Pointers,Status,Date to be done,,,,,,
First Art ,Done,31st October,,,Web Site Font ,Roboto for content ,to be final by 10 November,
Story,Done,31st October,,,,,,
Logo,Done,31st October,,,Web Site color,to be decided,to be final by 10 November,
Domain,Done,31st October,,,,,,
Mind map Plan/ Road Map,Pending,5th November,,,,,,
FAQ,Pending,25th November,,,,,,
Team,Pending,25th November,,,,,,
Web Site accesories ,Pending,20th November,,,,,,
Web Site Mockup,Pending,10th November,,,,,,
Server setup,Pending,25th November,,,,,,
SSL Certificates,Pending,23th November,,,,,,
Web Site ready ,Pending,28th November,,,,,,
Web Site hosting ,Pending,30th November,,,,,,
,,,,,,,,
Smart contract ,Pending,15th December,,,,,,
,,,,,,,,
,,,,,,,,
Artist  Plan,,,,,Twitter and Discord Post Plan,,,
Art Number,Status,Estimated date,,,Post Number,Status,Date ,Post content
Art 1,Done,31 October 2022,,,Tweets 1,Pending,TO be decided,
Art 2,Pending,7 November 2022,,,Tweets 2,Pending,TO be decided,
Art 3,Pending,TO be decided,,,Tweets 3,Pending,TO be decided,
Art 4,Pending,TO be decided,,,Tweets 4,Pending,TO be decided,
Art 5,Pending,TO be decided,,,Tweets 5,Pending,TO be decided,
Art 6,Pending,TO be decided,,,Tweets 6,Pending,TO be decided,
Art 6,Pending,TO be decided,,,Tweets 7,Pending,TO be decided,
Art 7,Pending,TO be decided,,,Tweets 8,Pending,TO be decided,
Art 8,Pending,TO be decided,,,Tweets 9,Pending,TO be decided,
Art 9,Pending,TO be decided,,,Tweets 10,Pending,TO be decided,
Art 10,Pending,TO be decided,,,Tweets 11,Pending,TO be decided,
Art 11,Pending,TO be decided,,,Tweets 12,Pending,TO be decided,
Art 12,Pending,TO be decided,,,Tweets 13,Pending,TO be decided,
Art 13,Pending,TO be decided,,,Tweets 14,Pending,TO be decided,
Art 14,Pending,TO be decided,,,Tweets 15,Pending,TO be decided,
Art 15,Pending,TO be decided,,,Tweets 16,Pending,TO be decided,
Art 16,Pending,TO be decided,,,Tweets 17,Pending,TO be decided,
Art 17,Pending,TO be decided,,,Tweets 18,Pending,TO be decided,
Art 18,Pending,TO be decided,,,Tweets 19,Pending,TO be decided,
Art 19,Pending,TO be decided,,,Tweets 20,Pending,TO be decided,
Art 20,Pending,TO be decided,,,,,,
